postcode,lat,lng,lsoa
"E20 1AA",51.547896000,-0.007389000,E01033583
"E20 1AB",51.548136000,-0.007724000,E01033583
"E20 1AD",51.547981000,-0.007587000,E01033583
"E20 1AE",51.546844000,-0.006872000,E01033583
"E20 1AF",51.547473000,-0.006801000,E01033583
"E20 1AG",51.546673000,-0.006836000,E01033583
"E20 1AH",51.547801000,-0.006023000,E01033583
"E20 1AJ",51.548011000,-0.005667000,E01033583
"E20 1AL",51.547811000,-0.006080000,E01033583
"E20 1AN",51.547526000,-0.007838000,E01033583
"E20 1AP",51.548032000,-0.006921000,E01033583
"E20 1AQ",51.548228000,-0.005225000,E01033583
"E20 1AR",51.547684000,-0.006547000,E01033583
"E20 1AS",51.547818000,-0.006369000,E01033583
"E20 1AT",51.549552000,-0.006913000,E01033583
"E20 1AW",51.548459000,-0.007696000,E01033583
"E20 1AX",51.547013000,-0.006721000,E01033583
"E20 1AY",51.547034000,-0.006374000,E01033583
"E20 1AZ",51.547001000,-0.006058000,E01033583
"E20 1BA",51.548299000,-0.006737000,E01033583
"E20 1BB",51.548603000,-0.007142000,E01033583
"E20 1BD",51.548593000,-0.007099000,E01033583
"E20 1BE",51.547526000,-0.004650000,E01033583
"E20 1BF",51.547745000,-0.004828000,E01033583
"E20 1BG",51.547763000,-0.005375000,E01033583
"E20 1BH",51.546290000,-0.006017000,E01033583
"E20 1BJ",51.546279000,-0.006435000,E01033583
"E20 1BL",51.546322000,-0.006837000,E01033583
"E20 1BN",51.546240000,-0.004506000,E01033583
"E20 1BP",51.546291000,-0.005007000,E01033583
"E20 1BR",51.547432000,-0.005967000,E01033583
"E20 1BS",51.546650000,-0.006001000,E01033583
"E20 1BT",51.547073000,-0.004987000,E01033583
"E20 1BU",51.547397000,-0.004987000,E01033583
"E20 1BW",51.546633000,-0.005021000,E01033583
"E20 1BX",51.546973000,-0.005987000,E01033583
"E20 1BY",51.546274000,-0.004532000,E01033583
"E20 1BZ",51.546732000,-0.004512000,E01033583
"E20 1DA",51.547117000,-0.004408000,E01033583
"E20 1DB",51.546962000,-0.007820000,E01033583
"E20 1DD",51.546629000,-0.010098000,E01033583
"E20 1DE",51.546314000,-0.010588000,E01033583
"E20 1DF",51.546367000,-0.010542000,E01033583
"E20 1DG",51.546840000,-0.010319000,E01033583
"E20 1DH",51.546659000,-0.011323000,E01033583
"E20 1DJ",51.546763000,-0.011087000,E01033583
"E20 1DL",51.546989000,-0.010616000,E01033583
"E20 1DN",51.546810000,-0.011072000,E01033583
"E20 1DP",51.546168000,-0.010983000,E01033583
"E20 1DQ",51.546545000,-0.011486000,E01033583
"E20 1DR",51.546316000,-0.011251000,E01033583
"E20 1DS",51.549126000,-0.009874000,E01033583
"E20 1DT",51.548912000,-0.009450000,E01033583
"E20 1DU",51.548941000,-0.009450000,E01033583
"E20 1DW",51.547109000,-0.013452000,E01033583
"E20 1DX",51.547335000,-0.013024000,E01033583
"E20 1DY",51.547999000,-0.011841000,E01033583
"E20 1DZ",51.548602000,-0.010834000,E01033583
"E20 1EA",51.548354000,-0.010484000,E01033583
"E20 1EB",51.548564000,-0.010143000,E01033583
"E20 1ED",51.548847000,-0.010405000,E01033583
"E20 1EE",51.544120000,-0.008867000,E01033583
"E20 1EF",51.548390000,-0.010511000,E01033583
"E20 1EG",51.544124000,-0.003443000,E01033583
"E20 1EH",51.543594000,-0.006639000,E01033583
"E20 1EJ",51.544336000,-0.006347000,E01033583
"E20 1EL",51.543730000,-0.006720000,E01033583
"E20 1EN",51.542991000,-0.007547000,E01033583
"E20 1EP",51.543261000,-0.006496000,E01033583
"E20 1EQ",51.543673000,-0.006925000,E01033583
"E20 1ER",51.544336000,-0.006347000,E01033583
"E20 1ES",51.543267000,-0.007376000,E01033583
"E20 1ET",51.543637000,-0.006536000,E01033583
"E20 1EU",51.543293000,-0.006898000,E01033583
"E20 1EW",51.546662000,-0.012563000,E01033583
"E20 1EX",51.546488000,-0.012888000,E01033583
"E20 1EY",51.547944000,-0.011095000,E01033583
"E20 1EZ",51.547679000,-0.011538000,E01033583
"E20 1FA",51.548637000,-0.014872000,E01033583
"E20 1FB",51.545259000,-0.008154000,E01033583
"E20 1FD",51.545256000,-0.008010000,E01033583
"E20 1FE",51.547996000,-0.011149000,E01033583
"E20 1FF",51.548271000,-0.011469000,E01033583
"E20 1FG",51.547937000,-0.011887000,E01033583
"E20 1FH",51.547139000,-0.012571000,E01033583
"E20 1FJ",51.547357000,-0.012158000,E01033583
"E20 1FL",51.547605000,-0.012493000,E01033583
"E20 1FN",51.547176000,-0.012613000,E01033583
"E20 1FP",51.546672000,-0.013125000,E01033583
"E20 1FQ",51.549238000,-0.014788000,E01033583
"E20 1FR",51.546865000,-0.013362000,E01033583
"E20 1FS",51.546826000,-0.012137000,E01033583
"E20 1FT",51.547014000,-0.013558000,E01033583
"E20 1FU",51.550117000,-0.012500000,E01033583
"E20 1FX",51.546837000,-0.012238000,E01033583
"E20 1FY",51.547403000,-0.011160000,E01033583
"E20 1FZ",51.547237000,-0.011456000,E01033583
"E20 1GA",51.547081000,-0.011780000,E01033583
"E20 1GB",51.548069000,-0.010136000,E01033583
"E20 1GD",51.547912000,-0.010431000,E01033583
"E20 1GE",51.548627000,-0.009088000,E01033583
"E20 1GF",51.547747000,-0.010756000,E01033583
"E20 1GG",51.548461000,-0.009383000,E01033583
"E20 1GH",51.548295000,-0.009708000,E01033583
"E20 1GJ",51.549249000,-0.007056000,E01033583
"E20 1GL",51.542604000,-0.008039000,E01033583
"E20 1GN",51.543408000,-0.006244000,E01033583
"E20 1GP",51.543820000,-0.008807000,E01033583
"E20 1GQ",51.545254000,-0.007866000,E01033583
"E20 1GR",51.544054000,-0.003390000,E01033583
"E20 1GS",51.544323000,-0.011958000,E01033583
"E20 1GT",51.547526000,-0.007838000,E01033583
"E20 1GU",51.549104000,-0.013928000,E01033583
"E20 1GW",51.549007000,-0.012303000,E01033583
"E20 1GX",51.548721000,-0.014494000,E01033583
"E20 1GY",51.549501000,-0.013854000,E01033583
"E20 1GZ",51.549060000,-0.013325000,E01033583
"E20 1HA",51.548646000,-0.012737000,E01033583
"E20 1HB",51.549124000,-0.013365000,E01033583
"E20 1HD",51.548180000,-0.013378000,E01033583
"E20 1HE",51.548113000,-0.012631000,E01033583
"E20 1HF",51.548300000,-0.013012000,E01033583
"E20 1HG",51.544336000,-0.006347000,E01033583
"E20 1HH",51.548734000,-0.011565000,E01033583
"E20 1HJ",51.548910000,-0.012423000,NULL
"E20 1HL",51.549276000,-0.011700000,NULL
"E20 1HN",51.548901000,-0.011875000,NULL
"E20 1HP",51.549558000,-0.012943000,NULL
"E20 1HQ",51.549904000,-0.012134000,NULL
"E20 1HR",51.540931000,-0.007492000,E01033583
"E20 1HS",51.542388000,-0.011898000,E01033583
"E20 1HT",51.540931000,-0.007492000,E01033583
"E20 1HU",51.541291000,-0.008025000,E01033583
"E20 1HW",51.541291000,-0.008025000,E01033583
"E20 1HX",51.541291000,-0.008025000,E01033583
"E20 1HY",51.541291000,-0.008025000,E01033583
"E20 1HZ",51.542808000,-0.009977000,E01033583
"E20 1JA",51.547757000,-0.009098000,NULL
"E20 1JB",51.547372000,-0.008682000,NULL
"E20 1JD",51.547965000,-0.008656000,NULL
"E20 1JE",51.547965000,-0.008656000,NULL
"E20 1JF",51.547965000,-0.008656000,NULL
"E20 1JG",51.547372000,-0.008682000,NULL
"E20 1JH",51.547372000,-0.008682000,NULL
"E20 1JJ",51.548105000,-0.008434000,NULL
"E20 1JL",51.547530000,-0.008992000,NULL
"E20 1JN",51.542021000,-0.009190000,E01033583
"E20 1JP",51.544325000,-0.011930000,E01033583
"E20 1JQ",51.542644000,-0.011456000,NULL
"E20 1JR",51.542193000,-0.011374000,NULL
"E20 1JT",51.546001000,-0.012146000,NULL
"E20 1JU",51.546001000,-0.012146000,NULL
"E20 1JW",51.545758000,-0.012127000,NULL
"E20 1JX",51.546001000,-0.012146000,NULL
"E20 1JY",51.545954000,-0.011484000,NULL
"E20 1JZ",51.545954000,-0.011484000,NULL
"E20 1LA",51.545254000,-0.007866000,NULL
"E20 1LB",51.545254000,-0.007866000,NULL
"E20 1LD",51.545254000,-0.007866000,NULL
"E20 1LE",51.549404000,-0.010252000,NULL
"E20 1LF",51.549705000,-0.009460000,NULL
"E20 1LG",51.549553000,-0.011097000,NULL
"E20 1LH",51.549401000,-0.011161000,NULL
"E20 1LJ",51.549970000,-0.011280000,NULL
"E20 1LL",51.549369000,-0.010311000,NULL
"E20 1LN",51.547316000,-0.009088000,NULL
"E20 1LP",51.550307000,-0.009391000,NULL
"E20 1LQ",51.550243000,-0.010908000,NULL
"E20 1LR",51.550374000,-0.010152000,NULL
"E20 1LS",51.550651000,-0.009563000,NULL
"E20 1LT",51.549835000,-0.009123000,NULL
"E20 1LU",51.550522000,-0.009352000,NULL
"E20 1LW",51.545254000,-0.007866000,NULL
"E20 1LX",51.550459000,-0.009369000,NULL
"E20 1LZ",51.541191000,-0.006371000,NULL
"E20 1NB",51.541645000,-0.007173000,NULL
"E20 1NL",51.541868000,-0.006024000,NULL
"E20 1NN",51.541868000,-0.006024000,NULL
"E20 1NQ",51.542152000,-0.006285000,NULL
"E20 1NY",51.541868000,-0.006024000,NULL
"E20 1NZ",51.541868000,-0.006024000,NULL
"E20 1PA",51.544855000,-0.008749000,NULL
"E20 1PB",51.547979000,-0.013689000,NULL
"E20 1PD",51.544855000,-0.008749000,NULL
"E20 1PE",51.547979000,-0.013689000,NULL
"E20 1PF",51.544855000,-0.008749000,NULL
"E20 1YY",51.544853000,-0.008776000,E01033583
"E20 2AA",51.539142000,-0.020260000,E01032764
"E20 2AB",51.539727000,-0.014581000,E01033578
"E20 2AD",51.538461000,-0.012950000,E01033578
"E20 2AE",51.536238000,-0.013941000,NULL
"E20 2AF",51.539088000,-0.008568000,NULL
"E20 2AG",51.539524000,-0.009342000,NULL
"E20 2AQ",51.539949000,-0.010159000,E01033578
"E20 2AR",51.539951000,-0.010131000,NULL
"E20 2AS",51.539951000,-0.010131000,NULL
"E20 2GL",51.549444000,-0.007999000,E01033583
"E20 2SS",51.539524000,-0.015873000,E01033578
"E20 2ST",51.538636000,-0.016403000,E01033579
"E20 2WS",51.539801000,-0.019481000,E01004224
"E20 3AB",51.550395000,-0.015256000,E01033583
"E20 3AD",51.552885000,-0.015739000,E01004430
"E20 3AF",51.552887000,-0.015711000,E01004430
"E20 3AG",51.546173000,-0.020749000,NULL
"E20 3AH",51.545837000,-0.021585000,NULL
"E20 3AJ",51.545727000,-0.020407000,NULL
"E20 3AL",51.545701000,-0.019932000,NULL
"E20 3AN",51.545526000,-0.019680000,NULL
"E20 3AP",51.545352000,-0.019529000,NULL
"E20 3AQ",51.545974000,-0.020151000,NULL
"E20 3AR",51.545489000,-0.021211000,NULL
"E20 3AS",51.545586000,-0.021106000,NULL
"E20 3AT",51.545164000,-0.020100000,NULL
"E20 3AU",51.545164000,-0.020100000,NULL
"E20 3AW",51.545164000,-0.020100000,NULL
"E20 3AX",51.545392000,-0.020826000,NULL
"E20 3AY",51.547667000,-0.025054000,NULL
"E20 3AZ",51.545372000,-0.020149000,NULL
"E20 3BB",51.548429000,-0.013870000,E01033583
"E20 3BS",51.547521000,-0.022262000,E01001849
"E20 3EL",51.550492000,-0.015151000,E01033583
"E20 3ET",51.552885000,-0.015739000,E01004430
"E20 3HB",51.544215000,-0.019953000,E01001849
"E20 3HY",51.549196000,-0.020400000,E01001846
"E20 3LS",51.549196000,-0.020400000,E01001846
"E20 3PS",51.547281000,-0.024190000,E01001849
